"p-item-img href","p-item-img src","p-item-name","short-description","short-description 2","short-description 3","short-description 4","p-item-price"
"https://www.startech.com.bd/charg-c1c-type-c-cable","https://www.startech.com.bd/image/cache/catalog/cable/charg/c1c/c1c-01-228x228.webp","CHARG C1C 1 Meter USB to Type C Cable","Interface: USB to Type-C","Cable Length: 1 Meter","Material: High Quality Plastic","Output: 2.4A MAX","100৳"
"https://www.startech.com.bd/acefast-r1-wireless-lavalier-microphone","https://www.startech.com.bd/image/cache/catalog/microphone/acefast/r1-/r1-01-228x228.webp","Acefast R1 AI Noise Reduction Dual Wireless Lavalier Microphone","Receiver Plug: Type-C","AI-Powered Noise Cancellation","Battery capacity: 120mAh (Transmitter), 750mAh (Case)","50m stable transmission, 25ms ultra-low latency","2,800৳"
"https://www.startech.com.bd/charg-c2c-cable","https://www.startech.com.bd/image/cache/catalog/cable/charg/c2c/c2c-01-228x228.webp","CHARG C2C 1 Meter USB to Type C Cable","Interface: USB to Type C","Cable Length: 1 Meter","Material: High Quality Plastic","Output: 3A MAX","105৳"
"https://www.startech.com.bd/yison-celebrat-cb-09m-micro-usb-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/cb-09m-white/yison-celebrat-cb-09m-1m-micro-usb-cable-white-01-228x228.jpg","Yison Celebrat CB-09M Micro USB Cable 1M White","Fireproof TPE","1 Meter Cable length","Can be used in any Micro USB port","CE,RoHs,REACH,FCC Certification","110৳"
"https://www.startech.com.bd/oraimo-ocd-114m-micro-usb-cable","https://www.startech.com.bd/image/cache/catalog/cable/oraimo/ocd-114m/ocd-114m-02-228x228.webp","Oraimo OCD-114M 1 Meter USB To Micro USB Cable","Interface: USB Type-A to Micro USB","Data Transfer Rate: 480 Mbps","Material: Nylon Braided Cable with Metal Shell","Cable Length: 1 Meter","115৳"
"https://www.startech.com.bd/havit-hv-mp846-gaming-mouse-pad","https://www.startech.com.bd/image/cache/catalog/mouse-pad/havit/hv-mp846/mp846-01-228x228.jpg","Havit HV-MP846 Gaming Mouse Pad","Premium fine-mesh cloth surface","Mouse moves smoothly & accurately","Non-Slip Rubber","Size: 25 x 21 x 3mm","120৳"
"https://www.startech.com.bd/ugreen-av162-cannon-xlr-male-to-6-5mm-female-converter","https://www.startech.com.bd/image/cache/catalog/converter/ugreen/av162/av162-001-228x228.webp","Ugreen AV162 Cannon XLR Male to 6.5mm Female Converter #80439","Interface(s) - Cannon XLR Male, 6.5mm Female","PVC + ABS + zinc alloy material","Anti-Oxidation and Anti-Fall","Adjustable aperture 6.0-7.0mm","120৳"
"https://www.startech.com.bd/ugreen-av162-6-5mm-female-to-cannon-xlr-male-converter","https://www.startech.com.bd/image/cache/catalog/converter/ugreen/av162/av162-0001-228x228.webp","Ugreen AV162 6.5mm Female to Cannon XLR Male Converter #80440","Interface(s) - Cannon XLR Male, 6.5mm Female","PVC + ABS + zinc alloy material","Anti-Oxidation and Anti-Fall","Adjustable aperture 6.0-7.0mm","120৳"
"https://www.startech.com.bd/yison-celebrat-cb-33-a-m-micro-usb-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/celebrat-cb-33-a-m/celebrat-cb-33-a-m-01-228x228.webp","Yison Celebrat CB-33 A-M 1 Meter USB to Micro USB Cable","Interface: USB Type-A to Micro USB","Function: Charging & Data Transmission","Material: PVC silicone, soft hand feel","Cable Length: 1 Meter","125৳"
"https://www.startech.com.bd/yison-celebrat-cb-33-a-m-white-micro-usb-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/celebrat-cb-33-a-m-white/celebrat-cb-33-a-m-white-01-228x228.webp","Yison Celebrat CB-33 A-M-White 1 Meter USB to Micro USB Cable","Interface: USB Type-A to Micro USB","Function: Charging & Data Transmission","Material: PVC silicone, soft hand feel","Cable Length: 1 Meter","125৳"
"https://www.startech.com.bd/yison-celebrat-cb-31-a-m-usb-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/celebrat-cb-31-a-m/cb-31-a-m-228x228.webp","Yison Celebrat CB-31 A-M 1 Meter USB to Micro USB Cable","Interface: USB Type-A to Micro USB","Function: Charging & Data Transmission","Material: PVC silicone, soft hand feel","Cable Length: 1 Meter","131৳"
"https://www.startech.com.bd/yison-celebrat-cb-31-a-m-white-usb-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/celebrat-cb-31-a-m-white/celebrat-cb-31-a-m-white-228x228.webp","Yison Celebrat CB-31 A-M-White 1 Meter USB to Micro USB Cable","Interface: USB Type-A to Micro USB","Function: Charging & Data Transmission","Material: PVC silicone, soft hand feel","Cable Length: 1 Meter","131৳"
"https://www.startech.com.bd/yison-celebrat-cb-33-a-c-type-c-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/celebrat-cb-33-a-c/celebrat-cb-33-a-c-01-228x228.jpg","Yison Celebrat CB-33 A-C 1 Meter USB to USB Type-C Cable","Interface: USB Type-A to USB Type-C","Function: Charging & Data Transmission","Material: PVC silicone, soft hand feel","Cable Length: 1 Meter","145৳"
"https://www.startech.com.bd/yison-celebrat-cb-33-a-c-white-type-c-cable","https://www.startech.com.bd/image/cache/catalog/cable/yison/celebrat-cb-33-a-c-white/celebrat-cb-33-a-c-white-01-228x228.webp","Yison Celebrat CB-33 A-C-White 1 Meter USB to USB Type-C Cable","Interface: USB Type-A to USB Type-C","Function: Charging & Data Transmission","Material: PVC silicone, soft hand feel","Cable Length: 1 Meter","145৳"
